Compound ChEMBL ID,Bioactivity Type,Bioactivity Value (nM),Molecular Formula,SMILES
CHEMBL1257047,EC50,2200.0,C27H34N4O4S,COc1ccc(S(=O)(=O)N2CCN(C(C)c3nc(OC4CCCCC4)c4ccccc4n3)CC2)cc1
CHEMBL1257047,EC50,2187.76,C27H34N4O4S,COc1ccc(S(=O)(=O)N2CCN(C(C)c3nc(OC4CCCCC4)c4ccccc4n3)CC2)cc1
CHEMBL4571017,EC50,300.0,C29H25F2NO6,O=C(O)c1ccc([C@H]2C[C@@H](NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)C[C@@H](c3ccccc3)O2)cc1
CHEMBL4571017,EC50,260.0,C29H25F2NO6,O=C(O)c1ccc([C@H]2C[C@@H](NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)C[C@@H](c3ccccc3)O2)cc1
CHEMBL4101487,EC50,5.0,C28H21F4NO7,O=C(O)c1ccc([C@H]2C[C@@H](NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c3ccc(OC(F)F)cc3O2)cc1
CHEMBL3358691,EC50,740.0,C19H21ClN4O3S,COc1ccc(Cl)cc1Nc1ncc(-c2sc(NC(=O)C(C)(C)C)nc2C)o1
CHEMBL4160444,EC50,2300.0,C20H16N2O4S,O=C(Nc1nc(-c2cccc(O)c2)cs1)C1(c2ccc3c(c2)OCO3)CC1
CHEMBL4160444,EC50,2290.87,C20H16N2O4S,O=C(Nc1nc(-c2cccc(O)c2)cs1)C1(c2ccc3c(c2)OCO3)CC1
CHEMBL3747405,EC50,100000.0,C27H34FN7,CN(C)CCN1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccc(F)cc2)CC3)CC1
CHEMBL3746547,EC50,200.0,C26H29N7O,COc1ccc(CN2CCc3nc(-c4ccccn4)nc(NCCCn4ccnc4)c3C2)cc1
CHEMBL3746547,EC50,199.53,C26H29N7O,COc1ccc(CN2CCc3nc(-c4ccccn4)nc(NCCCn4ccnc4)c3C2)cc1
CHEMBL2018585,EC50,100000.0,C24H24N4O2,COc1ccccc1C(=O)N1CCN(c2nc3cc(C)cc(C)c3cc2C#N)CC1
CHEMBL4170137,EC50,300.0,C23H19BrN2O5S,CCOC(=O)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccc(Br)cc1
CHEMBL4170137,EC50,302.0,C23H19BrN2O5S,CCOC(=O)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccc(Br)cc1
CHEMBL2018577,EC50,2700.0,C20H19N5O,Cc1cc(C)c2cc(C#N)c(NCCNC(=O)c3cccnc3)nc2c1
CHEMBL2018577,EC50,2691.53,C20H19N5O,Cc1cc(C)c2cc(C#N)c(NCCNC(=O)c3cccnc3)nc2c1
CHEMBL2018592,EC50,3000.0,C21H21N5O,Cc1cc(C)c2cc(C#N)c(NCCCNC(=O)c3cccnc3)nc2c1
CHEMBL2018592,EC50,3019.95,C21H21N5O,Cc1cc(C)c2cc(C#N)c(NCCCNC(=O)c3cccnc3)nc2c1
CHEMBL4083374,EC50,1320.0,C17H24N2O4S,CC1(C)Cc2c(sc(NC(=O)C3(CO)CC3)c2C(N)=O)C(C)(C)O1
CHEMBL4083374,EC50,15.0,C17H24N2O4S,CC1(C)Cc2c(sc(NC(=O)C3(CO)CC3)c2C(N)=O)C(C)(C)O1
CHEMBL4076611,EC50,467.0,C15H19N5O3S,CC1(C)Cc2c(sc(NC(=O)c3nnc[nH]3)c2C(N)=O)C(C)(C)O1
CHEMBL4087115,EC50,490.0,C17H18N2O4S,CC1(C)Cc2c(sc(NC(=O)c3ccccc3O)c2C(N)=O)CO1
CHEMBL4087115,EC50,13.0,C17H18N2O4S,CC1(C)Cc2c(sc(NC(=O)c3ccccc3O)c2C(N)=O)CO1
CHEMBL4761482,EC50,4100.0,C21H18N4O,O=C(c1cnn(-c2ccccc2)c1)N1CCc2[nH]c3ccccc3c2C1
CHEMBL4742172,EC50,10500.0,C17H15F3N4O3S,CS(=O)(=O)c1ccc2[nH]c3c(c2c1)CN(C(=O)c1cc(C(F)(F)F)[nH]n1)CC3
CHEMBL4753999,EC50,1910.0,C19H18F4N4O,Cc1ccc(F)c2[nH]c3c(c12)CN(C(=O)c1cc(C(F)(F)F)[nH]n1)C(C)(C)C3
CHEMBL4097540,EC50,4800.0,C16H18F5N5O,CCN(CC)c1nc(Nc2ccc(F)cc2)nc(OCC(F)(F)C(F)F)n1
CHEMBL3597882,EC50,8500.0,C14H12N2S3,CSc1cccc(Nc2nc(-c3cccs3)cs2)c1
CHEMBL4795314,EC50,13.0,C14H17N5O4S2,NC(=O)c1cc(S(=O)(=O)N2CCCCC2)sc1NC(=O)c1ccn[nH]1
CHEMBL4781656,EC50,20.0,C16H18N2O6S2,COc1ccc(S(=O)(=O)c2cc(C(N)=O)c(NC(=O)C(C)(C)O)s2)cc1
CHEMBL4781656,EC50,478.0,C16H18N2O6S2,COc1ccc(S(=O)(=O)c2cc(C(N)=O)c(NC(=O)C(C)(C)O)s2)cc1
CHEMBL3597886,EC50,58000.0,C16H15N3O3S2,CCOC(=O)c1cc(-c2csc(Nc3cccc(SC)c3)n2)on1
CHEMBL3357141,EC50,5.0,C20H20N2O3,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL3357141,EC50,3.0,C20H20N2O3,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
CHEMBL4176184,EC50,7900.0,C24H19ClN2OS,O=C(Nc1ncc(Cc2ccccc2Cl)s1)C(c1ccccc1)c1ccccc1
CHEMBL4176184,EC50,16000.0,C24H19ClN2OS,O=C(Nc1ncc(Cc2ccccc2Cl)s1)C(c1ccccc1)c1ccccc1
CHEMBL2103870,EC50,2600.0,C24H18F2N2O5,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1
CHEMBL2103870,EC50,2600.0,C24H18F2N2O5,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1
CHEMBL2103870,EC50,2570.4,C24H18F2N2O5,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1
CHEMBL2103870,EC50,2600.0,C24H18F2N2O5,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1
CHEMBL4164907,EC50,87.0,C27H20N2O4S,O=C(c1ccccc1)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccccc1
CHEMBL4164907,EC50,87.1,C27H20N2O4S,O=C(c1ccccc1)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccccc1
CHEMBL4083185,EC50,70.0,C21H14ClN3O3,O=c1c(-c2cccc([N+](=O)[O-])c2)nc2cc(Cl)ccc2n1Cc1ccccc1
CHEMBL4071412,EC50,1200.0,C16H18F4N6O3,CCN(CC)c1nc(Nc2cccc([N+](=O)[O-])c2)nc(OCC(F)(F)C(F)F)n1
CHEMBL4169655,EC50,1000.0,C32H45N3O5,COc1ncc(C(C)C)cc1CN[C@H]1[C@H](C(C)(C)OC)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1
CHEMBL4169655,EC50,1000.0,C32H45N3O5,COc1ncc(C(C)C)cc1CN[C@H]1[C@H](C(C)(C)OC)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1
CHEMBL4517461,EC50,137.0,C27H33F3N2O6,COc1ncc(C(F)(F)F)cc1CO[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)OC(C)C)[C@H]1c1ccccc1
CHEMBL4546985,EC50,222.0,C29H34ClF3N2O6,COc1ncc(C(F)(F)F)cc1CO[C@H]1[C@H](C(C)(C)C)[C@@H](C(=O)O)N(C(=O)[C@@H]2CCCCO2)[C@H]1c1ccccc1Cl
CHEMBL3747046,EC50,1500.0,C27H35N7,CN(C)CCN1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccccc2)CC3)CC1
CHEMBL3747046,EC50,11700.0,C27H35N7,CN(C)CCN1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccccc2)CC3)CC1
CHEMBL3747046,EC50,1513.56,C27H35N7,CN(C)CCN1CCN(c2nc(-c3ccccn3)nc3c2CN(Cc2ccccc2)CC3)CC1
CHEMBL4172914,EC50,199.53,C26H31FN6,Fc1ccc(CN2CCc3nc(-c4ccccn4)nc(NCCCN4CCCC4)c3C2)cc1
CHEMBL4176955,EC50,1900.0,C21H17BrN2O3S,Cc1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccc(Br)cc1
CHEMBL4176955,EC50,1905.46,C21H17BrN2O3S,Cc1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccc(Br)cc1
CHEMBL4781649,EC50,2570.0,C22H18N2O4S,Cc1ccc(C(=O)c2cnc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)s2)cc1
CHEMBL4169655,EC50,1000.0,C32H45N3O5,COc1ncc(C(C)C)cc1CN[C@H]1[C@H](C(C)(C)OC)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1
CHEMBL4169655,EC50,1000.0,C32H45N3O5,COc1ncc(C(C)C)cc1CN[C@H]1[C@H](C(C)(C)OC)[C@@H](C(=O)O)N(C(=O)C2CCCCC2)[C@H]1c1ccccc1
CHEMBL4097188,EC50,120.0,C13H11F6N5O,CNc1nc(Nc2ccccc2)nc(OC(C(F)(F)F)C(F)(F)F)n1
